year,month,date,good,bad,all_review_count,recommend_count,review_count,avg,gain,peak,price,steam_online,season,sales
2014,1,201401,15735,843,16578,3,3,55627.35,8839.08,102084,0,215374048,1,1
2014,2,201402,11181,628,11809,1,1,59791.37,4164.01,119764,0,187047218,0,1
2014,3,201403,13930,885,14815,4,4,70143.33,10351.96,164495,0,203940245,0,1
2014,4,201404,11987,650,12637,2,2,78880.53,8737.2,142526,0,191717596,1,1
2014,5,201405,12406,741,13147,1,1,84925.02,6044.49,170137,0,200047568,0,1
2014,6,201406,24742,1242,25984,7,8,84163.62,-761.4,164134,0,207131104,1,1
2014,7,201407,20171,1319,21490,7,7,106138,21974.38,193613,0,209067723,1,1
2014,8,201408,21564,1252,22816,6,7,133185.79,27047.79,277192,0,202543340,0,1
2014,9,201409,18259,1224,19483,5,5,131034.68,-2151.11,242494,0,202281291,0,1
2014,10,201410,16945,1214,18159,5,5,133537.7,2503.02,260613,0,216669754,0,1
2014,11,201411,20940,1658,22598,3,3,147329.07,13791.37,348018,991,212894074,0,2
2014,12,201412,30837,2229,33066,5,5,183589.5,36260.43,367634,1480,229914135,1,3
2015,1,201501,34941,2436,37377,9,10,234070.68,50481.18,443188,1480,248142190,0,3
2015,2,201502,28898,2084,30982,3,3,239934.64,5863.96,455508,1480,224509605,0,3
2015,3,201503,36869,2666,39535,1,1,267996.31,28061.68,595439,1480,260193756,0,3
2015,4,201504,37328,2831,40159,6,6,291748.74,23752.43,568556,740,256307044,0,2
2015,5,201505,42027,3114,45141,4,4,317286.29,25537.55,677701,740,268017435,0,2
2015,6,201506,51772,4532,56304,3,3,344156.01,26869.72,610401,1480,275398132,1,3
2015,7,201507,39299,3378,42677,3,3,329532.38,-14623.63,541181,740,274316327,0,2
2015,8,201508,42101,3691,45792,4,4,357535.24,28002.87,819902,1480,280723676,0,3
2015,9,201509,38546,3531,42077,1,2,355905.33,-1629.91,725939,740,285319406,0,2
2015,10,201510,42958,3825,46783,5,5,362766.09,6860.76,732093,740,306848246,0,2
2015,11,201511,47536,4395,51931,0,0,360925.88,-1840.21,786707,740,312287411,0,2
2015,12,201512,63369,8518,71887,2,2,377447.11,16521.23,823694,1480,319799868,0,3
2016,1,201601,59292,7904,67196,0,0,365371.09,-12076.02,667432,1480,354205980,0,3
2016,2,201602,55607,6095,61702,6,6,376285.02,10913.93,738969,1480,332474919,0,3
2016,3,201603,51267,5181,56448,3,3,379426.95,3141.92,737599,740,351943255,1,2
2016,4,201604,47222,4728,51950,2,2,375795.87,-3631.08,850485,740,347096278,0,2
2016,5,201605,42784,4596,47380,2,2,338738.39,-37057.47,668612,740,349085617,0,2
2016,6,201606,46101,5721,51822,7,7,334311.06,-4427.34,579110,740,342460460,0,2
2016,7,201607,43257,5598,48855,2,2,353777.56,19466.5,636056,1480,346363534,0,3
2016,8,201608,36129,5453,41582,4,4,347229.25,-6548.31,599095,1480,339754591,0,3
2016,9,201609,30699,4943,35642,2,2,322525.89,-24703.36,638360,1480,338136102,0,3
2016,10,201610,31139,5365,36504,5,5,333076.46,10550.57,661985,1480,362204081,0,3
