year,month,date,good,bad,all_review_count,good_perc,bad_perc,recommend_count,review_count,rec_review_perc,avg,gain,peak,avg_peak_perc,price,steam_online
2022,12,202212,63834,7258,71092,89.79%,10.21%,3,4,75.00%,629325.00,8319.00,1065079,59.09%,0,909421602
2022,11,202211,55857,6644,62501,89.37%,10.63%,5,6,83.33%,621006.00,12656.50,1129095,55.00%,0,852068535
2022,10,202210,55731,6675,62406,89.30%,10.70%,6,6,100.00%,608349.50,-10426.50,1078860,56.39%,0,849997689
2022,9,202209,57430,7128,64558,88.96%,11.04%,4,4,100.00%,618776.00,-22668.70,1100366,56.23%,0,798181709
2022,8,202208,71809,9490,81299,88.33%,11.67%,4,5,80.00%,641444.80,46991.70,1039889,61.68%,0,804512345
2022,7,202207,63481,8150,71631,88.62%,11.38%,4,5,80.00%,594453.10,22230.60,928329,64.03%,0,806821513
2022,6,202206,56873,7444,64317,88.43%,11.57%,3,4,75.00%,572222.50,7260.80,906670,63.11%,0,796942903
2022,5,202205,56049,7110,63159,88.74%,11.26%,7,8,87.50%,564961.70,-4021.50,923996,61.14%,0,814688015
2022,4,202204,57366,7269,64635,88.75%,11.25%,7,8,87.50%,568983.20,-12506.50,1013237,56.15%,0,811476339
2022,3,202203,68066,8200,76266,89.25%,10.75%,6,6,100.00%,581489.70,-53148.70,987993,58.86%,0,842232292
2022,2,202202,71244,8735,79979,89.08%,10.92%,4,4,100.00%,634638.40,32262.10,995163,63.77%,0,773919662
2022,1,202201,78616,9862,88478,88.85%,11.15%,1,1,100.00%,602376.30,55762.10,991625,60.75%,0,841556186
2021,12,202112,68383,8724,77107,88.69%,11.31%,7,7,100.00%,546614.20,-1547.50,950586,57.50%,0,790841123
2021,11,202111,69056,8610,77666,88.91%,11.09%,3,3,100.00%,548161.70,35725.80,935593,58.59%,0,746857217
2021,10,202110,70990,8999,79989,88.75%,11.25%,1,1,100.00%,512435.80,84.90,864966,59.24%,0,761030927
2021,9,202109,74696,9909,84605,88.29%,11.71%,5,6,83.33%,512350.90,269.00,942519,54.36%,0,712688157
2021,8,202108,78104,10531,88635,88.12%,11.88%,4,5,80.00%,512082.00,6014.60,802544,63.81%,0,742779745
2021,7,202107,77235,10570,87805,87.96%,12.04%,4,4,100.00%,506067.40,-43279.70,763523,66.28%,0,728164057
2021,6,202106,86148,13458,99606,86.49%,13.51%,6,6,100.00%,549347.10,-110541.80,929940,59.07%,0,725029145
2021,5,202105,76920,11079,87999,87.41%,12.59%,3,5,60.00%,659888.90,-63457.60,1087197,60.70%,0,763354617
2021,4,202104,82430,11258,93688,87.98%,12.02%,5,5,100.00%,723346.50,-17581.30,1148077,63.01%,0,764329312
2021,3,202103,93466,11791,105257,88.80%,11.20%,7,7,100.00%,740927.80,-85.40,1198581,61.82%,0,795249278
2021,2,202102,86505,10704,97209,88.99%,11.01%,5,5,100.00%,741013.24,-2196.42,1123485,65.96%,0,710744828
2021,1,202101,105384,12999,118383,89.02%,10.98%,3,3,100.00%,743209.66,25405.91,1124553,66.09%,0,764912073
2020,12,202012,124355,14052,138407,89.85%,10.15%,5,5,100.00%,717803.75,49049.17,1164396,61.65%,0,742721118
2020,11,202011,123339,13520,136859,90.12%,9.88%,5,6,83.33%,668754.58,55087.89,1037464,64.46%,0,676323499
2020,10,202010,82983,10688,93671,88.59%,11.41%,4,4,100.00%,613666.69,6816.37,943876,65.02%,0,677821596
2020,9,202009,78638,6989,85627,91.84%,8.16%,6,7,85.71%,606850.32,-33107.34,977769,62.06%,0,630276320
2020,8,202008,91206,12033,103239,88.34%,11.66%,3,3,100.00%,639957.66,14056.85,925348,69.16%,0,617654552
2020,7,202007,95677,12356,108033,88.56%,11.44%,9,10,90.00%,625900.81,-45746.65,857560,72.99%,0,614835056
2020,6,202006,105266,12827,118093,89.14%,10.86%,0,0,0.00%,671647.46,-97147.79,1009467,66.53%,0,617667675
2020,5,202005,134154,16237,150391,89.20%,10.80%,6,6,100.00%,768795.25,-88808.97,1193359,64.42%,0,690919844
2020,4,202004,154264,19462,173726,88.80%,11.20%,6,6,100.00%,857604.22,186570.94,1305714,65.68%,0,707770424
2020,3,202003,129384,15919,145303,89.04%,10.96%,8,9,88.89%,671033.29,127054.13,1145972,58.56%,0,614637525
2020,2,202002,98576,12199,110775,88.99%,11.01%,1,2,50.00%,543979.15,42783.15,916996,59.32%,0,494362025
2020,1,202001,106271,13640,119911,88.62%,11.38%,3,4,75.00%,501196,44494.44,817229,61.33%,0,504227760
2019,12,201912,123114,14973,138087,89.16%,10.84%,5,6,83.33%,456701.56,30620.76,767060,59.54%,0,489960904
2019,11,201911,200311,22686,222997,89.83%,10.17%,8,9,88.89%,426080.81,17085.5,758412,56.18%,0,444037585
2019,10,201910,52944,5789,58733,90.14%,9.86%,4,5,80.00%,408995.31,-1930.29,747937,54.68%,0,458972530
2019,9,201909,27057,3568,30625,88.35%,11.65%,5,5,100.00%,410925.6,-4171.7,720052,57.07%,0,443916276
2019,8,201908,28408,4152,32560,87.25%,12.75%,2,2,100.00%,415097.3,21314.48,647461,64.11%,0,462667163
2019,7,201907,90065,10184,100249,89.84%,10.16%,2,2,100.00%,393782.83,4406.1,578933,68.02%,0,468667503
2019,6,201906,72414,9413,81827,88.50%,11.50%,8,9,88.89%,389376.72,24959.42,587724,66.25%,0,459967446
2019,5,201905,28130,4467,32597,86.30%,13.70%,4,4,100.00%,364417.31,12427.39,588453,61.93%,0,475503683
2019,4,201904,29803,4616,34419,86.59%,13.41%,3,3,100.00%,351989.92,-38250.24,621614,56.63%,0,459882969
2019,3,201903,35272,5236,40508,87.07%,12.93%,3,3,100.00%,390240.16,18881.2,680071,57.38%,0,475948889
2019,2,201902,34192,5963,40155,85.15%,14.85%,5,5,100.00%,371358.96,-30007.91,654069,56.78%,0,434108199
2019,1,201901,35082,8871,43953,79.82%,20.18%,1,1,100.00%,401366.87,5857.61,684511,58.64%,0,487744486
2018,12,201812,49885,35043,84928,58.74%,41.26%,7,15,46.67%,395509.26,85423.83,746548,52.98%,0,479130101
2018,11,201811,68588,8995,77583,88.41%,11.59%,1,3,33.33%,310085.43,-15822.39,546031,56.79%,1520,435691109
2018,10,201810,25296,4299,29595,85.47%,14.53%,5,5,100.00%,325907.82,-7256.17,565968,57.58%,1520,450878274
2018,9,201809,26312,4878,31190,84.36%,15.64%,4,5,80.00%,333163.99,49632.68,583029,57.14%,1520,444109147
2018,8,201808,29830,6292,36122,82.58%,17.42%,3,3,100.00%,283531.31,10224.05,454370,62.40%,1520,452335748
2018,7,201807,29220,6299,35519,82.27%,17.73%,4,5,80.00%,273307.26,6445.02,426008,64.16%,1520,461230198
2018,6,201806,31037,6884,37921,81.85%,18.15%,4,4,100.00%,266862.24,4691.36,420261,63.50%,760,465287550
2018,5,201805,25846,6321,32167,80.35%,19.65%,5,5,100.00%,262170.88,-26905.82,454481,57.69%,760,474049371
2018,4,201804,26395,7531,33926,77.80%,22.20%,1,1,100.00%,289076.7,-65193.64,523262,55.25%,1520,474062020
2018,3,201803,38423,8927,47350,81.15%,18.85%,3,4,75.00%,354270.33,-28186.77,672502,52.68%,1520,510031006
2018,2,201802,39603,7380,46983,84.29%,15.71%,1,1,100.00%,382457.1,426.57,686588,55.70%,1480,371090512
2018,1,201801,47300,8666,55966,84.52%,15.48%,2,4,50.00%,382030.53,41153.65,715850,53.37%,1480,522357795
2017,12,201712,45971,7814,53785,85.47%,14.53%,7,7,100.00%,340876.88,19745.48,598405,56.96%,991,503638824
2017,11,201711,90715,13673,104388,86.90%,13.10%,4,5,80.00%,321131.4,-20729.86,601881,53.35%,1480,456531797
2017,10,201710,40456,8508,48964,82.62%,17.38%,3,3,100.00%,341861.26,-12540.83,639968,53.42%,1480,461639493
2017,9,201709,38971,7819,46790,83.29%,16.71%,1,2,50.00%,354402.09,-20023.6,665371,53.26%,1480,413855215
2017,8,201708,41377,8539,49916,82.89%,17.11%,1,7,14.29%,374425.69,-3163.35,595781,62.85%,1480,402100933
2017,7,201707,49776,7976,57752,86.19%,13.81%,0,0,0.00%,377589.04,3201,624785,60.44%,1480,397350674
2017,6,201706,51702,7767,59469,86.94%,13.06%,8,8,100.00%,374388.04,2558.7,614621,60.91%,991,384667873
2017,5,201705,42320,5998,48318,87.59%,12.41%,4,4,100.00%,371829.34,-20369.85,692966,53.66%,991,384904645
2017,4,201704,45248,6081,51329,88.15%,11.85%,0,0,0.00%,392199.19,5290.47,709841,55.25%,991,372738458
2017,3,201703,45310,6540,51850,87.39%,12.61%,2,2,100.00%,386908.72,-15476.99,742356,52.12%,991,355283156
2017,2,201702,44226,7229,51455,85.95%,14.05%,2,4,50.00%,402385.71,9276.18,744468,54.05%,991,355481565
2017,1,201701,49265,7500,56765,86.79%,13.21%,5,5,100.00%,393109.53,50913.83,814616,48.26%,1480,403770973
2016,12,201612,48938,7279,56217,87.05%,12.95%,1,2,50.00%,342195.7,13150.44,662460,51.66%,1480,388609680
2016,11,201611,119996,13183,133179,90.10%,9.90%,8,11,72.73%,329045.26,-4031.2,627124,52.47%,1480,364127062
2016,10,201610,31139,5365,36504,85.30%,14.70%,5,5,100.00%,333076.46,10550.57,661985,50.31%,1480,362204081
2016,9,201609,30699,4943,35642,86.13%,13.87%,2,2,100.00%,322525.89,-24703.36,638360,50.52%,1480,338136102
2016,8,201608,36129,5453,41582,86.89%,13.11%,4,4,100.00%,347229.25,-6548.31,599095,57.96%,1480,339754591
2016,7,201607,43257,5598,48855,88.54%,11.46%,2,2,100.00%,353777.56,19466.5,636056,55.62%,1480,346363534
2016,6,201606,46101,5721,51822,88.96%,11.04%,7,7,100.00%,334311.06,-4427.34,579110,57.73%,740,342460460
2016,5,201605,42784,4596,47380,90.30%,9.70%,2,2,100.00%,338738.39,-37057.47,668612,50.66%,740,349085617
2016,4,201604,47222,4728,51950,90.90%,9.10%,2,2,100.00%,375795.87,-3631.08,850485,44.19%,740,347096278
2016,3,201603,51267,5181,56448,90.82%,9.18%,3,3,100.00%,379426.95,3141.92,737599,51.44%,740,351943255
2016,2,201602,55607,6095,61702,90.12%,9.88%,6,6,100.00%,376285.02,10913.93,738969,50.92%,1480,332474919
2016,1,201601,59292,7904,67196,88.24%,11.76%,0,0,0.00%,365371.09,-12076.02,667432,54.74%,1480,354205980
2015,12,201512,63369,8518,71887,88.15%,11.85%,2,2,100.00%,377447.11,16521.23,823694,45.82%,1480,319799868
2015,11,201511,47536,4395,51931,91.54%,8.46%,0,0,0.00%,360925.88,-1840.21,786707,45.88%,740,312287411
2015,10,201510,42958,3825,46783,91.82%,8.18%,5,5,100.00%,362766.09,6860.76,732093,49.55%,740,306848246
2015,9,201509,38546,3531,42077,91.61%,8.39%,1,2,50.00%,355905.33,-1629.91,725939,49.03%,740,285319406
2015,8,201508,42101,3691,45792,91.94%,8.06%,4,4,100.00%,357535.24,28002.87,819902,43.61%,1480,280723676
2015,7,201507,39299,3378,42677,92.08%,7.92%,3,3,100.00%,329532.38,-14623.63,541181,60.89%,740,274316327
2015,6,201506,51772,4532,56304,91.95%,8.05%,3,3,100.00%,344156.01,26869.72,610401,56.38%,1480,275398132
2015,5,201505,42027,3114,45141,93.10%,6.90%,4,4,100.00%,317286.29,25537.55,677701,46.82%,740,268017435
2015,4,201504,37328,2831,40159,92.95%,7.05%,6,6,100.00%,291748.74,23752.43,568556,51.31%,740,256307044
2015,3,201503,36869,2666,39535,93.26%,6.74%,1,1,100.00%,267996.31,28061.68,595439,45.01%,1480,260193756
2015,2,201502,28898,2084,30982,93.27%,6.73%,3,3,100.00%,239934.64,5863.96,455508,52.67%,1480,224509605
2015,1,201501,34941,2436,37377,93.48%,6.52%,9,10,90.00%,234070.68,50481.18,443188,52.82%,1480,248142190
2014,12,201412,30837,2229,33066,93.26%,6.74%,5,5,100.00%,183589.5,36260.43,367634,49.94%,1480,229914135
2014,11,201411,20940,1658,22598,92.66%,7.34%,3,3,100.00%,147329.07,13791.37,348018,42.33%,991,212894074
2014,10,201410,16945,1214,18159,93.31%,6.69%,5,5,100.00%,133537.7,2503.02,260613,51.24%,0,216669754
2014,9,201409,18259,1224,19483,93.72%,6.28%,5,5,100.00%,131034.68,-2151.11,242494,54.04%,0,202281291
2014,8,201408,21564,1252,22816,94.51%,5.49%,6,7,85.71%,133185.79,27047.79,277192,48.05%,0,202543340
2014,7,201407,20171,1319,21490,93.86%,6.14%,7,7,100.00%,106138,21974.38,193613,54.82%,0,209067723
2014,6,201406,24742,1242,25984,95.22%,4.78%,7,8,87.50%,84163.62,-761.4,164134,51.28%,0,207131104
2014,5,201405,12406,741,13147,94.36%,5.64%,1,1,100.00%,84925.02,6044.49,170137,49.92%,0,200047568
2014,4,201404,11987,650,12637,94.86%,5.14%,2,2,100.00%,78880.53,8737.2,142526,55.34%,0,191717596
2014,3,201403,13930,885,14815,94.03%,5.97%,4,4,100.00%,70143.33,10351.96,164495,42.64%,0,203940245
2014,2,201402,11181,628,11809,94.68%,5.32%,1,1,100.00%,59791.37,4164.01,119764,49.92%,0,187047218
2014,1,201401,15735,843,16578,94.91%,5.09%,3,3,100.00%,55627.35,8839.08,102084,54.49%,0,215374048
