helpful,funny,Community_award,Recommend_flag,play_time,posted,Review_content,geme_nums,after_comment
1663,1487,381,1,2586.6," 10 December, 2020","[""After 8 years playing it, I didn't improve my skills in-game."", 'However, I learned new language skills: now I can curse in Russian and Brazilian Portuguese.', 'Also, my tolerance level to guttural screams and loud sounds was increased.', 'Now I can bear the crying of my children for longer and I can make them feel better by singing sweet traditional songs from other cultures, such as Очи чёрные (Dark Eyes) or Garota de Ipanema (The Girl from Ipanema).', 'In conclusion, Counter Strike transformed me into a better father and a better person, in addition to making me more patient, tolerant to hateful people and more trained in languages and cultures.', 'Better than any psychiatric therapy. 10/10']",3226,37
1916,1481,318,1,1417," 2 November, 2020","[""The time I spent playing this game could've been spent..."", '...studying', '...applying for jobs', '...making friends irl', '...getting a wife', '...spending time with my family', '...working out', '...becoming a better man in general', 'From the time I spent in this game, I got...', '...an extremely racist and homophobic vocabulary', '...free Russian lessons', '...anger management issues', '...borderline autistic tendencies', '...sleep deprivation', '10/10 would never uninstall this game and correct my life', 'P.S. PLEASE for the love of all that is holy, practice in Deathmatch and Casual as well as perfect your cross-hair and mouse sensitivity before you jump into competitive. People will thank you for it.', '  Pyro Simba ☪۞', '245 products in account', '88', '2,963 people found this review helpful', '1,042 people found this review funny 110', 'Recommended', '8.3 hrs on record', 'Posted: 14 March', '>see a guy', '>shoot him', '>miss every shot', '>he turns around', '>kills me in one shot', '>exit cs:go', '10/10', '  Erudite Skald', '69', '2,540 people found this review helpful', '743 people found this review funny 98', 'Recommended', '8,092.5 hrs on record', 'Posted: 22 January', 'Your team in every random competitive game:', '- You', '- Russian Guy', '- Another Russian Guy', '- A 6 year old kid who slept with your mother', '- Russian Guy who speaks English', '10/10']",1,134
2328,202,64,0,1694.3," 23 November, 2016",['I NOT CAN PLAY'],399,172
1359,838,114,1,20.9," 28 June, 2022",['This community is so nice i got a lot of tips on how to uninstall the game and kill myself'],264,0
998,663,79,1,189.5," 19 October, 2022",['This community is so nice i got a lot of tips on how to uninstall the game and kill myself'],339,0
7234,2416,41,1,2711.8," 18 October, 2016",['Where can I get the English version ?'],1,411
860,401,58,1,1256," 20 January, 2022","['>see a guy', '>shoot him', '>miss every shot', '>he turns around', '>kills me in one shot', '>exit cs:go', '10/10', '~Zi(K)e']",1,41
1416,636,81,1,6.4, May 12,"[""In order to play this game you need to be the wolf. You need to know how to howl, in fact you need to be capable of howling at will, unleash that warrior howl with your mind. Then eat raw meat, learn to adore having your fur stroked and PREY ON THE SHEEP! Because we thrive in a land where the strong prey on the weak and that's called natural selection, THAT'S WHAT IT MEANS TO BE A WOLF. Don't let the sheep's bleating prevent you from enacting your genetic will, YOU MUST GNAW ON THEM. Tear them strip by strip and show them that the Úlfhéðnar do not take thralls."", '  Cardinal Wolfykins', '6 products in account', '66', '507 people found this review helpful', '4 people found this review funny 4', 'Recommended', '3,415.9 hrs on record', 'Posted: November 2, 2021', 'The Best game on steam but it has the worst anticheat.']",1,19
1161,682,76,1,2103.1," June 7, 2021","['Your team in every random competitive game:', '- You', '- Russian Guy', '- Another Russian Guy', '- A 6 year old kid who slept with your mother', '- Russian Guy who speaks English', '10/10']",160,55
1588,190,115,0,41281.3," July 15, 2018","['ɢʀᴇᴀᴛ ɢᴀᴍᴇ, ʀᴜɪɴᴇᴅ ʙʏ ᴄʜᴇᴀᴛᴇʀꜱ']",135,1337
951,420,52,1,7261.5," January 5, 2017",['is game'],1,81
1178,248,99,1,6079.7," February 10, 2021","['Not only you can shoot chickens for target practice, but also you can press your use key (usually ""E"") on any chicken and it will follow you.']",185,104
591,164,28,1,491," October 29, 2022","['Product received for free', ""Feels like an abusive realationship. Hate it while you're in it, but miss it when you're gone!""]",11,24
598,256,37,1,5.2, June 13,"['>see a guy', '>hit every shot', '>run out of bullets', '>he turns around', '>kills me in one shot', '>damage dealt: 98 in 7', '>exit cs:go', '10/10', '  ✟Hallowed Knight✟', '23', '2,016 people found this review helpful', '1,155 people found this review funny 254', 'Recommended', '14,366.3 hrs on record', 'Posted: March 1, 2021', 'Your team in every random competitive game:', '- You', '- Russian Guy', '- Another Russian Guy', '- A 6 year old kid who slept with your mother', '- Russian Guy who speaks English', '10/10', '  The Wolf', '53 products in account', '0', '624 people found this review helpful', '486 people found this review funny 41', 'Recommended', '297.9 hrs on record', 'Posted: May 7, 2021', 'Met lots of gifted individuals that can look at the ground while spinning and still click heads. Very impressive!', '  slayworld kosovo', '3 products in account', '2', '582 people found this review helpful', '369 people found this review funny 67', 'Recommended', '2,052.4 hrs on record', 'Posted: February 28, 2022', 'Things I gave to Counter-Strike:', '1. Money', '2. Time', '3. Love', 'Things Counter-Strike gave me:', '1. Arthritis', '2. Rage', '3. Hatred of Russians, Spanish, and Russians', '4. Broken keyboard', '5. Broken mouse.', '6. 9/10 ready', '7. Server crashes', '8. Stupid teammates', '9. Competitive matches', '10. ""Ez Pz"" spam', '11. Multilingual cursing - I guess this is a good thing?', '12. Lag', '13. Cheaters', '14. 64 tick servers', 'Essentially - CS is a greedy woman, but I love her all the time.', '  .discoN ム', '13 products in account', '29', '397 people found this review helpful', '77 people found this review funny 6', 'Recommended', '830.7 hrs on record', 'Posted: January 2', '""sometimes maybe good, sometimes maybe sh1t""']",104,0
1627,806,120,1,152.8," March 20, 2021","['>see a guy', '>shoot him', '>miss every shot', '>he turns around', '>kills me in one shot', '>exit cs:go', '10/10']",1,0
1669,1028,147,1,173.3," January 6, 2021","['>see a guy', '>shoot him', '>miss every shot', '>he turns around', '>kills me in one shot', '>exit cs:go', '10/10']",1,0
876,230,43,1,2054.4, March 22,['gaben where my beta key'],145,0
1016,166,28,1,194.2," September 1, 2021",['love + hate = csgo'],26,0
842,488,62,1,127.5," June 24, 2021","['>see a guy', '>shoot him', '>miss every shot', '>he turns around', '>kills me in one shot', '>exit cs:go', '10/10']",1,0
